Index,NumberOfTweets,NumberOfRetweets,NumberOfFollowers,MaxFollowers,Time
0,0,0,0,0,14
1,1,1,5346,5346,14
2,0,0,0,0,15
3,0,0,0,0,16
4,0,0,0,0,17
5,0,0,0,0,18
6,0,0,0,0,19
7,0,0,0,0,20
8,0,0,0,0,21
9,0,0,0,0,22
10,0,0,0,0,23
11,0,0,0,0,0
12,0,0,0,0,1
13,0,0,0,0,2
14,0,0,0,0,3
15,0,0,0,0,4
16,0,0,0,0,5
17,0,0,0,0,6
18,0,0,0,0,7
19,0,0,0,0,8
20,0,0,0,0,9
21,0,0,0,0,10
22,0,0,0,0,11
23,0,0,0,0,12
24,0,0,0,0,13
25,0,0,0,0,14
26,0,0,0,0,15
27,0,0,0,0,16
28,0,0,0,0,17
29,0,0,0,0,18
30,0,0,0,0,19
31,0,0,0,0,20
32,0,0,0,0,21
33,0,0,0,0,22
34,0,0,0,0,23
35,0,0,0,0,0
36,0,0,0,0,1
37,0,0,0,0,2
38,0,0,0,0,3
39,0,0,0,0,4
40,0,0,0,0,5
41,0,0,0,0,6
42,0,0,0,0,7
43,0,0,0,0,8
44,0,0,0,0,9
45,1,1,1561,1561,10
46,0,0,0,0,11
47,0,0,0,0,12
48,0,0,0,0,13
49,0,0,0,0,14
50,0,0,0,0,15
51,0,0,0,0,16
52,0,0,0,0,17
53,0,0,0,0,18
54,0,0,0,0,19
55,1,1,33,33,20
56,0,0,0,0,21
57,0,0,0,0,22
58,0,0,0,0,23
59,0,0,0,0,0
60,0,0,0,0,1
61,0,0,0,0,2
62,0,0,0,0,3
63,0,0,0,0,4
64,0,0,0,0,5
65,1,0,48,48,6
66,0,0,0,0,7
67,0,0,0,0,8
68,0,0,0,0,9
69,0,0,0,0,10
70,0,0,0,0,11
71,0,0,0,0,12
72,0,0,0,0,13
73,0,0,0,0,14
74,0,0,0,0,15
75,0,0,0,0,16
76,0,0,0,0,17
77,0,0,0,0,18
78,0,0,0,0,19
79,0,0,0,0,20
80,0,0,0,0,21
81,0,0,0,0,22
82,0,0,0,0,23
83,0,0,0,0,0
84,0,0,0,0,1
85,0,0,0,0,2
86,0,0,0,0,3
87,0,0,0,0,4
88,0,0,0,0,5
89,0,0,0,0,6
90,0,0,0,0,7
91,1,1,2785,2785,8
92,0,0,0,0,9
93,0,0,0,0,10
94,0,0,0,0,11
95,0,0,0,0,12
96,0,0,0,0,13
97,0,0,0,0,14
98,0,0,0,0,15
99,0,0,0,0,16
100,0,0,0,0,17
101,0,0,0,0,18
102,1,1,53957,53957,19
103,1,0,1320,1320,20
104,0,0,0,0,21
105,0,0,0,0,22
106,0,0,0,0,23
107,0,0,0,0,0
108,0,0,0,0,1
109,0,0,0,0,2
110,0,0,0,0,3
111,0,0,0,0,4
112,0,0,0,0,5
113,0,0,0,0,6
114,0,0,0,0,7
115,0,0,0,0,8
116,0,0,0,0,9
117,0,0,0,0,10
118,0,0,0,0,11
119,0,0,0,0,12
120,0,0,0,0,13
121,0,0,0,0,14
122,0,0,0,0,15
123,0,0,0,0,16
124,0,0,0,0,17
125,0,0,0,0,18
126,0,0,0,0,19
127,0,0,0,0,20
128,0,0,0,0,21
129,0,0,0,0,22
130,0,0,0,0,23
131,0,0,0,0,0
132,0,0,0,0,1
133,0,0,0,0,2
134,0,0,0,0,3
135,0,0,0,0,4
136,0,0,0,0,5
137,0,0,0,0,6
138,1,1,2554,2554,7
139,0,0,0,0,8
140,2,1,2946,2793,9
141,0,0,0,0,10
142,0,0,0,0,11
143,0,0,0,0,12
144,0,0,0,0,13
145,0,0,0,0,14
146,0,0,0,0,15
147,0,0,0,0,16
148,0,0,0,0,17
149,0,0,0,0,18
150,1,1,184559,184559,19
151,0,0,0,0,20
152,0,0,0,0,21
153,0,0,0,0,22
154,0,0,0,0,23
155,0,0,0,0,0
156,0,0,0,0,1
157,0,0,0,0,2
158,0,0,0,0,3
159,0,0,0,0,4
160,0,0,0,0,5
161,0,0,0,0,6
162,0,0,0,0,7
163,0,0,0,0,8
164,0,0,0,0,9
165,0,0,0,0,10
166,0,0,0,0,11
167,0,0,0,0,12
168,0,0,0,0,13
169,0,0,0,0,14
170,0,0,0,0,15
171,0,0,0,0,16
172,0,0,0,0,17
173,0,0,0,0,18
174,0,0,0,0,19
175,0,0,0,0,20
176,0,0,0,0,21
177,0,0,0,0,22
178,0,0,0,0,23
179,0,0,0,0,0
180,0,0,0,0,1
181,0,0,0,0,2
182,0,0,0,0,3
183,0,0,0,0,4
184,0,0,0,0,5
185,0,0,0,0,6
186,0,0,0,0,7
187,0,0,0,0,8
188,0,0,0,0,9
189,0,0,0,0,10
190,0,0,0,0,11
191,0,0,0,0,12
192,0,0,0,0,13
193,1,0,153,153,14
194,0,0,0,0,15
195,0,0,0,0,16
196,0,0,0,0,17
197,1,1,54357,54357,18
198,0,0,0,0,19
199,1,1,363,363,20
200,0,0,0,0,21
201,0,0,0,0,22
202,0,0,0,0,23
203,0,0,0,0,0
204,0,0,0,0,1
