Index,NumberOfTweets,NumberOfRetweets,NumberOfFollowers,MaxFollowers,Time
0,0,0,0,0,14
1,0,0,0,0,14
2,0,0,0,0,15
3,0,0,0,0,16
4,0,0,0,0,17
5,0,0,0,0,18
6,0,0,0,0,19
7,0,0,0,0,20
8,0,0,0,0,21
9,0,0,0,0,22
10,0,0,0,0,23
11,0,0,0,0,0
12,0,0,0,0,1
13,0,0,0,0,2
14,0,0,0,0,3
15,0,0,0,0,4
16,0,0,0,0,5
17,0,0,0,0,6
18,1,1,294,294,7
19,0,0,0,0,8
20,0,0,0,0,9
21,0,0,0,0,10
22,0,0,0,0,11
23,1,0,811,811,12
24,0,0,0,0,13
25,0,0,0,0,14
26,0,0,0,0,15
27,0,0,0,0,16
28,0,0,0,0,17
29,0,0,0,0,18
30,0,0,0,0,19
31,0,0,0,0,20
32,0,0,0,0,21
33,0,0,0,0,22
34,0,0,0,0,23
35,0,0,0,0,0
36,0,0,0,0,1
37,0,0,0,0,2
38,0,0,0,0,3
39,0,0,0,0,4
40,0,0,0,0,5
41,0,0,0,0,6
42,0,0,0,0,7
43,0,0,0,0,8
44,0,0,0,0,9
45,0,0,0,0,10
46,0,0,0,0,11
47,0,0,0,0,12
48,0,0,0,0,13
49,0,0,0,0,14
50,0,0,0,0,15
51,0,0,0,0,16
52,0,0,0,0,17
53,0,0,0,0,18
54,0,0,0,0,19
55,0,0,0,0,20
56,0,0,0,0,21
57,0,0,0,0,22
58,0,0,0,0,23
59,0,0,0,0,0
60,0,0,0,0,1
61,0,0,0,0,2
62,0,0,0,0,3
63,0,0,0,0,4
64,0,0,0,0,5
65,0,0,0,0,6
66,0,0,0,0,7
67,0,0,0,0,8
68,0,0,0,0,9
69,0,0,0,0,10
70,0,0,0,0,11
71,0,0,0,0,12
72,0,0,0,0,13
73,0,0,0,0,14
74,0,0,0,0,15
75,0,0,0,0,16
76,0,0,0,0,17
77,0,0,0,0,18
78,0,0,0,0,19
79,0,0,0,0,20
80,0,0,0,0,21
81,0,0,0,0,22
82,0,0,0,0,23
83,0,0,0,0,0
84,0,0,0,0,1
85,0,0,0,0,2
86,0,0,0,0,3
87,0,0,0,0,4
88,0,0,0,0,5
89,0,0,0,0,6
90,0,0,0,0,7
91,0,0,0,0,8
92,0,0,0,0,9
93,0,0,0,0,10
94,0,0,0,0,11
95,0,0,0,0,12
96,0,0,0,0,13
97,0,0,0,0,14
98,0,0,0,0,15
99,0,0,0,0,16
100,0,0,0,0,17
101,0,0,0,0,18
102,0,0,0,0,19
103,0,0,0,0,20
104,0,0,0,0,21
105,0,0,0,0,22
106,0,0,0,0,23
107,0,0,0,0,0
108,0,0,0,0,1
109,0,0,0,0,2
110,0,0,0,0,3
111,0,0,0,0,4
112,0,0,0,0,5
113,0,0,0,0,6
114,0,0,0,0,7
115,0,0,0,0,8
116,0,0,0,0,9
117,0,0,0,0,10
118,0,0,0,0,11
119,0,0,0,0,12
120,0,0,0,0,13
121,0,0,0,0,14
122,0,0,0,0,15
123,0,0,0,0,16
124,0,0,0,0,17
125,0,0,0,0,18
126,0,0,0,0,19
127,0,0,0,0,20
128,0,0,0,0,21
129,0,0,0,0,22
130,0,0,0,0,23
131,0,0,0,0,0
132,0,0,0,0,1
133,0,0,0,0,2
134,0,0,0,0,3
135,0,0,0,0,4
136,0,0,0,0,5
137,0,0,0,0,6
138,0,0,0,0,7
